"id";"user_type_id";"username";"email";"password";"first_name";"last_name";"gender";"date_of_birth"
1;1;"Diego46";"Elene.N_Kline1@example.com";"CSNTL1114X";"Elene";"Sheridan";"Male";"1999-03-01"
2;2;"Abel447";"GerardoBivins@example.com";"AHDLD4324V";"Lasonya";"Galvan";"Female";"1976-09-23"
3;2;"Mcdowell2002";"afxrgujs4@nowhere.com";"ENLPK4147Q";"Shantae";"Moffett";"Male";"1986-05-09"
4;2;"Moises2021";"Alves@example.com";"ARRGI3129I";"Adrienne";"Pryor";"Female";"1980-11-09"
5;1;"Desmond7";"Loomis8@example.com";"YTOLN7967C";"Chelsie";"Madsen";"Male";"1957-01-02"
6;1;"Aiken123";"RaymundoScales275@example.com";"AMYHI9372S";"Veronique";"Vang";"Female";"1990-12-04"
7;2;"Mackay52";"xizuhaje.zakt@example.com";"INCTN8185S";"Gerard";"Sherman";"Female";"1963-08-02"
8;1;"Kenneth489";"IsaacDollar7@example.com";"GBWAL7316E";"Deidre";"Dell";"Male";"1995-05-01"
9;2;"Deann1973";"ArdenOutlaw@example.com";"PZICI7532S";"Antoine";"Moffitt";"Male";"1953-01-03"
10;1;"Sheridan4";"ArthurClough@example.com";"GRBAB7982A";"Marion";"Vanhoose";"Male";"1986-01-26"
11;1;"Samira593";"Evers@nowhere.com";"KDGFB6122S";"Cheree";"Boles";"Male";"1999-03-14"
12;2;"Abe1995";"bmmo3@example.com";"QIRHJ3754E";"Delphine";"Puckett";"Male";"2000-06-21"
13;1;"Bridget896";"CoyAcker62@nowhere.com";"GXRAS6523U";"Juan";"Collins";"Female";"1965-06-12"
14;1;"Fowler866";"Latrice.D_King869@example.com";"EARKJ9237P";"Garrett";"Mohr";"Female";"1989-05-11"
15;2;"Chanda2014";"JameBarbosa36@example.com";"XOULI2843E";"Rubie";"Sherrill";"Male";"1957-08-08"
16;1;"Allyson339";"Berniece.OCreech@nowhere.com";"CHITJ8922A";"Addie";"Bolin";"Male";"1958-10-01"
17;1;"Roseanne2016";"Sturgeon@example.com";"NSCKK9395Z";"Lamont";"Galvez";"Male";"1997-06-03"
18;2;"Florez1962";"dijxhb69@example.com";"HZHKD5974I";"Migdalia";"Puente";"Female";"1994-04-13"
19;2;"Romaine72";"VerlineFaison@example.com";"XCLBE4311G";"Humberto";"Colon";"Male";"1968-05-15"
20;1;"Stacee2012";"Zoila.Riggins@nowhere.com";"BJNLZ7786H";"Bobbie";"Janssen";"Male";"1997-11-03"
